"","Station","Line","Line2","lat","lon"
"1","捷運板橋站","板南線",NA,25.0145999,121.4625299
"2","捷運北門站","松山新店線",NA,25.0490258,121.5099912
"3","捷運北投站","淡水信義線",NA,25.1313054,121.4991801
"4","捷運菜寮站","中和新蘆線",NA,25.060274,121.492156
"5","捷運大安森林公園站","淡水信義線",NA,25.0334788,121.535352
"6","捷運大安站","文湖線","淡水信義線",25.0332255,121.5439082
"7","捷運大湖公園站","文湖線",NA,25.083009,121.605262
"8","捷運大坪林站","松山新店線",NA,24.9827862,121.5410329
"9","捷運大橋頭站","中和新蘆線",NA,25.0632553,121.5127182
"10","捷運大直站","文湖線",NA,25.079476,121.546894
"11","捷運丹鳳站","中和新蘆線",NA,25.0290509,121.422421
"12","捷運淡水站","淡水信義線",NA,25.167817,121.44556
"13","捷運頂埔站","板南線",NA,24.959332,121.4198624
"14","捷運頂溪站","中和新蘆線",NA,25.014218,121.5153677
"15","捷運東湖站","文湖線",NA,25.0671258,121.6117183
"16","捷運東門站","淡水信義線","中和新蘆線",25.0340535,121.5289343
"17","捷運動物園站","文湖線",NA,24.998259,121.57943
"18","捷運府中站","板南線",NA,25.0083954,121.4589482
"19","捷運輔大站","中和新蘆線",NA,25.0328241,121.4361096
"20","捷運復興崗站","淡水信義線",NA,25.138198,121.491851
"21","捷運港墘站","文湖線",NA,25.080038,121.575102
"22","捷運公館站","松山新店線",NA,25.011943,121.537818
"23","捷運古亭站","松山新店線","中和新蘆線",25.0261342,121.522922
"24","捷運關渡站","淡水信義線",NA,25.124923,121.465515
"26","捷運國父紀念館站","板南線",NA,25.039012,121.557739
"27","捷運海山站","板南線",NA,24.9854279,121.4486084
"28","捷運紅樹林站","淡水信義線",NA,25.154042,121.458871
"29","捷運後山埤站","板南線",NA,25.045054,121.582522
"30","捷運葫洲站","文湖線",NA,25.0727158,121.6071548
"31","捷運迴龍站","中和新蘆線",NA,25.02254,121.412734
"32","捷運劍南路站","文湖線",NA,25.084853,121.555592
"33","捷運劍潭站","淡水信義線",NA,25.084873,121.525077
"34","捷運江子翠站","板南線",NA,25.033971,121.473281
"35","捷運景安站","中和新蘆線",NA,24.9937115,121.5046146
"36","捷運景美站","松山新店線",NA,24.993524,121.540817
"37","捷運科技大樓站","文湖線",NA,25.026124,121.543437
"38","捷運昆陽站","板南線",NA,25.0501585,121.593423
"39","捷運麟光站","文湖線",NA,25.015464,121.561065
"40","捷運六張犁站","文湖線",NA,25.023698,121.55162
"41","捷運龍山寺站","板南線",NA,25.035279,121.499826
"42","捷運蘆洲站","中和新蘆線",NA,25.091553,121.464471
"43","捷運民權西路站","淡水信義線","中和新蘆線",25.0628786,121.519346
"44","捷運明德站","淡水信義線",NA,25.10972,121.518848
"45","捷運木柵站","文湖線",NA,24.99824,121.573145
"46","捷運南港軟體園區站","文湖線",NA,25.0599419,121.6159291
"47","捷運南港展覽館站","文湖線","板南線",25.0553846,121.6182655
"48","捷運南港站","板南線",NA,25.052056,121.606569
"49","捷運南京復興站","文湖線","松山新店線",25.0520954,121.5443516
"50","捷運南京三民站","松山新店線",NA,25.051462,121.560447
"51","捷運南勢角站","中和新蘆線",NA,24.9899178,121.5088501
"52","捷運內湖站","文湖線",NA,25.064786,121.585319
"53","捷運七張站","松山新店線",NA,24.9749794,121.5431015
"54","捷運奇岩站","淡水信義線",NA,25.126112,121.5010071
"55","捷運唭哩岸站","淡水信義線",NA,25.120872,121.506252
"56","捷運三和國中站","中和新蘆線",NA,25.07542,121.488685
"57","捷運三民高中站","中和新蘆線",NA,25.085457,121.473389
"58","捷運三重國小站","中和新蘆線",NA,25.06945,121.498291
"59","捷運三重站","中和新蘆線",NA,25.055791,121.484725
"60","捷運善導寺站","板南線",NA,25.0441055,121.524231
"61","捷運石牌站","淡水信義線",NA,25.114523,121.515559
"62","捷運士林站","淡水信義線",NA,25.093535,121.526229
"63","捷運市政府站","板南線",NA,25.041146,121.565963
"64","捷運雙連站","淡水信義線",NA,25.0579015,121.5206032
"65","捷運松江南京站","松山新店線","中和新蘆線",25.0512257,121.5327387
"66","捷運松山機場站","文湖線",NA,25.063021,121.5517715
"67","捷運松山站","松山新店線",NA,25.0498846,121.5775295
"68","捷運台北/世貿站","淡水信義線",NA,25.0330575,121.5631862
"70","捷運台北車站","淡水信義線","板南線",25.0477505,121.5170599
"71","捷運台北橋站","中和新蘆線",NA,25.063059,121.499916
"72","捷運台北小巨蛋站","松山新店線",NA,25.0514463,121.5507862
"73","捷運台大醫院站","淡水信義線",NA,25.041471,121.518577
"74","捷運台電大樓站","松山新店線",NA,25.017557,121.531394
"79","捷運頭前庄站","中和新蘆線",NA,25.039705,121.461746
"80","捷運土城站","板南線",NA,24.9732244,121.4441573
"81","捷運萬芳社區站","文湖線",NA,25.00225,121.569992
"82","捷運萬芳醫院站","文湖線",NA,24.9993886,121.5582008
"83","捷運萬隆站","松山新店線",NA,24.999282,121.540237
"84","捷運文德站","文湖線",NA,25.0785484,121.5855236
"85","捷運西湖站","文湖線",NA,25.082133,121.567213
"86","捷運西門站","松山新店線","板南線",25.0421203,121.5076592
"88","捷運先嗇宮站","中和新蘆線",NA,25.046493,121.471916
"89","捷運象山站","淡水信義線",NA,25.032939,121.5688409
"90","捷運小碧潭站","小碧潭支線",NA,24.972008,121.530487
"91","捷運小南門站","松山新店線",NA,25.035534,121.51088
"92","捷運辛亥站","文湖線",NA,25.005475,121.557107
"93","捷運新北投站","新北投支線",NA,25.1369429,121.5026492
"94","捷運新埔站","板南線",NA,25.0241811,121.4682288
"95","捷運新店區公所站","松山新店線",NA,24.9673862,121.5410004
"97","捷運新店站","松山新店線",NA,24.95894,121.538581
"98","捷運新莊站","中和新蘆線",NA,25.036125,121.452468
"99","捷運信義安和站","淡水信義線",NA,25.033116,121.552798
"100","捷運行天宮站","中和新蘆線",NA,25.059717,121.533184
"101","捷運徐匯中學站","中和新蘆線",NA,25.079547,121.481262
"102","捷運亞東醫院站","板南線",NA,24.998037,121.452514
"103","捷運永安市場站","中和新蘆線",NA,25.003881,121.51332
"104","捷運永春站","板南線",NA,25.0407066,121.5765839
"105","捷運永寧站","板南線",NA,24.9668026,121.4363174
"106","捷運圓山站","淡水信義線",NA,25.071353,121.520118
"107","捷運芝山站","淡水信義線",NA,25.1030598,121.5225139
"108","捷運中山國小站","中和新蘆線",NA,25.062693,121.526418
"109","捷運中山國中站","文湖線",NA,25.060848,121.544226
"110","捷運中山站","淡水信義線","松山新店線",25.0529046,121.5203406
"111","捷運中正紀念堂站","淡水信義線","松山新店線",25.032729,121.51827
"112","捷運忠孝敦化站","板南線",NA,25.0416218,121.5516552
"113","捷運忠孝復興站","文湖線","板南線",25.041629,121.543767
"114","捷運忠孝新生站","中和新蘆線","板南線",25.0424433,121.5332498
"115","捷運忠義站","淡水信義線",NA,25.131058,121.473226
"116","捷運竹圍站","淡水信義線",NA,25.136558,121.46009
